"Combined FIPS Code","ANSI Code","STNAME","County Name","POP2010","Total Congregations","Total Adherents","Total Adherents per Thousand","Evangelical Protestant Adherents","Evangelical Protestants Per Thousand","Black Protestant Adherents","Black Protestants per Thousand","Mainline Protestant  Adherents","Mainline Protestants per Thousand","Catholic Adherents","Catholic Adherents per Thousand","Orthodox Adherents","Orthodox Adherents per Thousand","Baha'I Adherents","Baha'I Adherents per Thousand","Buddhism, Mahayana Adherents","Buddhism, Mahayana Adherents per Thousand","Buddhism, Theravada Adherents","Buddhism, Theravada Adherents per Thousand","Buddhism, Vajrayana Adherents","Buddhism, Vajrayana Adherents per Thousand","Total Buddhist Adherents","Total Buddhist Adherents  per Thousand","Latter Day Saints Adherents","Latter Day Saints Adherents per Thousand","Indian-American Hindu Adherents","Indian-American Hindu Adherents per Thousand","Post Renaissance Hindu Adherents","Post Renaissance Hindu Adherents per Thousand","Renaissance Hindu Adherents","Renaissance Hindu Adherents per Thousand","Traditional Hindu Temples Adherents","Traditional Hindu Temples Adherents per Thousand","Total Hindu Adherents","Total Hindus Adherents per Thousand","Muslims Estimated","Muslims Estimated per Thousand","Conservative Judaism Adherents","Conservative Judaism Adherents per Thousand","Orthodox Judaism Adherents","Orthodox Judaism Adherents per Thousand","Reconstructionist Judaism Adherents","Reconstructionism Judaism Adherents per Thousand","Reform Judaism Adherents","Reform Judaism Adherents per Thousand","Total Judaism Adherents","Total Judaism Adherents per Thousand","Unitarian Universalist Adherents","Unitarian Universalist Adherents per Thousand","Zoroastrian Adherents","Zoroastrian Adherents per Thousand"
"1053","01053","Alabama","Escambia County","  38,319 ","  124 ","  23,014 ","600.59","  17,917 ","467.57","  2,164 ","56.47","  1,849 ","48.25","  530 ","13.83","","","  10 ","0.26","","","","","","","0","0.00","","","","","","","","","","","0","0.00","","","","","","","","","","","0","0.00","","","",""
"1055","01055","Alabama","Etowah County","  104,430 ","  256 ","  84,006 ","804.42","  64,316 ","615.88","  4,813 ","46.09","  5,816 ","55.69","  7,624 ","73.01","","","  7 ","0.07","","","","","","","0","0.00","  814 ","7.79","","","","","","","","","0","0.00","  616 ","5.90","","","","","","","","","0","0.00","","","",""
"1057","01057","Alabama","Fayette County","  17,241 ","  94 ","  11,039 ","640.28","  9,490 ","550.43","  541 ","31.38","  795 ","46.11","  90 ","5.22","","","","","","","","","","","0","0.00","  123 ","7.13","","","","","","","","","0","0.00","","","","","","","","","","","0","0.00","","","",""
"1059","01059","Alabama","Franklin County","  31,704 ","  102 ","  20,416 ","643.96","  16,733 ","527.79","  526 ","16.59","  1,195 ","37.69","  1,487 ","46.90","","","","","","","","","","","0","0.00","  475 ","14.98","","","","","","","","","0","0.00","","","","","","","","","","","0","0.00","","","",""
"1061","01061","Alabama","Geneva County","  26,790 ","  102 ","  16,488 ","615.45","  12,807 ","478.05","  1,156 ","43.15","  1,960 ","73.16","  50 ","1.87","","","  4 ","0.15","","","","","","","0","0.00","  203 ","7.58","","","","","","","","","0","0.00","  308 ","11.50","","","","","","","","","0","0.00","","","",""
"1063","01063","Alabama","Greene County","  9,045 ","  28 ","  2,425 ","268.10","  1,134 ","125.37","  857 ","94.75","  375 ","41.46","  37 ","4.09","","","  22 ","2.43","","","","","","","0","0.00","","","","","","","","","","","0","0.00","","","","","","","","","","","0","0.00","","","",""
"1065","01065","Alabama","Hale County","  15,760 ","  69 ","  9,531 ","604.76","  4,362 ","276.78","  3,493 ","221.64","  1,386 ","87.94","  25 ","1.59","  100 ","6.35","  6 ","0.38","","","","","","","0","0.00","  159 ","10.09","","","","","","","","","0","0.00","","","","","","","","","","","0","0.00","","","",""
"1067","01067","Alabama","Henry County","  17,302 ","  43 ","  8,195 ","473.64","  6,025 ","348.23","  1,266 ","73.17","  904 ","52.25","","","","","","","","","","","","","0","0.00","","","","","","","","","","","0","0.00","","","","","","","","","","","0","0.00","","","",""
"1069","01069","Alabama","Houston County","  101,547 ","  210 ","  81,059 ","798.24","  60,486 ","595.65","  3,855 ","37.96","  12,245 ","120.58","  2,551 ","25.12","  40 ","0.39","  4 ","0.04","","","","","","","0","0.00","  1,119 ","11.02","","","","","","","","","0","0.00","  616 ","6.07","","","","","","","  143 ","1.41","  143 ","1.41","","","",""
"1071","01071","Alabama","Jackson County","  53,227 ","  145 ","  28,922 ","543.37","  24,116 ","453.08","  845 ","15.88","  2,116 ","39.75","  1,515 ","28.46","","","  7 ","0.13","","","","","","","0","0.00","  323 ","6.07","","","","","","","","","0","0.00","","","","","","","","","","","0","0.00","","","",""
"1073","01073","Alabama","Jefferson County","  658,466 ","  1,198 ","  552,254 ","838.70","  308,984 ","469.25","  106,653 ","161.97","  67,037 ","101.81","  55,083 ","83.65","  1,424 ","2.16","  280 ","0.43","  11 ","0.02","","","  53 ","0.08","  64 ","0.10","  4,753 ","7.22","  129 ","0.20","  77 ","0.12","","","","","  206 ","0.31","  3,348 ","5.08","  1,774 ","2.69","  375 ","0.57","","","  1,971 ","2.99","  4,120 ","6.25","  300 ","0.46","  2 ","0.00"
"1075","01075","Alabama","Lamar County","  14,564 ","  90 ","  11,042 ","758.17","  8,902 ","611.23","  1,085 ","74.50","  1,055 ","72.44","","","","","","","","","","","","","0","0.00","","","","","","","","","","","0","0.00","","","","","","","","","","","0","0.00","","","",""
"1077","01077","Alabama","Lauderdale County","  92,709 ","  206 ","  54,063 ","583.15","  40,963 ","441.84","  2,346 ","25.30","  8,079 ","87.14","  1,948 ","21.01","","","  16 ","0.17","","","","","","","0","0.00","  679 ","7.32","","","","","","","","","0","0.00","","","","","","","","","","","0","0.00","  31 ","0.33","  1 ","0.01"
"1079","01079","Alabama","Lawrence County","  34,339 ","  81 ","  17,919 ","521.83","  15,711 ","457.53","  944 ","27.49","  1,175 ","34.22","  87 ","2.53","","","  2 ","0.06","","","","","","","0","0.00","","","","","","","","","","","0","0.00","","","","","","","","","","","0","0.00","","","",""
"1081","01081","Alabama","Lee County","  140,247 ","  175 ","  56,996 ","406.40","  30,090 ","214.55","  7,368 ","52.54","  15,250 ","108.74","  2,872 ","20.48","","","  28 ","0.20","","","","","","","0","0.00","  830 ","5.92","","","","","","","","","0","0.00","  308 ","2.20","","","","","","","  124 ","0.88","  124 ","0.88","  126 ","0.90","",""
"1083","01083","Alabama","Limestone County","  82,782 ","  166 ","  43,018 ","519.65","  33,582 ","405.67","  866 ","10.46","  4,899 ","59.18","  2,462 ","29.74","","","  2 ","0.02","","","","","","","0","0.00","  591 ","7.14","","","  16 ","0.19","","","  600 ","7.25","  616 ","7.44","","","","","","","","","","","0","0.00","","","",""
"1085","01085","Alabama","Lowndes County","  11,299 ","  50 ","  6,217 ","550.23","  2,439 ","215.86","  2,265 ","200.46","  1,512 ","133.82","","","","","  1 ","0.09","","","","","","","0","0.00","","","","","","","","","","","0","0.00","","","","","","","","","","","0","0.00","","","",""
"1087","01087","Alabama","Macon County","  21,452 ","  67 ","  9,583 ","446.72","  2,695 ","125.63","  4,945 ","230.51","  1,164 ","54.26","  100 ","4.66","","","  78 ","3.64","","","","","","","0","0.00","  233 ","10.86","","","","","","","","","0","0.00","  368 ","17.15","","","","","","","","","0","0.00","","","",""
"1089","01089","Alabama","Madison County","  334,811 ","  432 ","  168,830 ","504.25","  105,503 ","315.11","  6,710 ","20.04","  35,533 ","106.13","  14,157 ","42.28","  340 ","1.02","  145 ","0.43","  364 ","1.09","","","","","  364 ","1.09","  4,137 ","12.36","","","  41 ","0.12","","","","","  41 ","0.12","  924 ","2.76","  173 ","0.52","","","","","  473 ","1.41","  646 ","1.93","  166 ","0.50","  8 ","0.02"
