Participant; Input; Distance; Width; Practice; Block; Trial; SerieNumber; TargetX; TargetY; Time; FirstClickTime; FirstClickDownX; FirstClickDownY; FirstClickUpX; FirstClickUpY; LastClickDownX; LastClickDownY; LastClickUpX; LastClickUpY; FullError; DownError; UpError; Reset
1; TokenAnse;4900;30; false;1;8;2;0.9166667;0.9114583;2128;1943;0.9059975;0.09340033;0.9066404;0.1078544;0.9059975;0.09340033;0.9066404;0.1078544;0;0;0; False
1; TokenAnse;4900;30; false;1;8;3;0.08333334;0.9114583;2427;2256;0.07500585;0.09145419;0.08310829;0.09579568;0.07500585;0.09145419;0.08310829;0.09579568;0;0;0; False
1; TokenAnse;4900;30; false;1;8;4;0.9166667;0.5677083;2344;2186;0.910626;0.4145581;0.9053596;0.4184284;0.910626;0.4145581;0.9053596;0.4184284;0;0;0; False
1; TokenAnse;4900;30; false;1;8;5;0.08333334;0.2239583;2377;2230;0.08132644;0.7669176;0.08721794;0.7593074;0.08132644;0.7669176;0.08721794;0.7593074;0;0;0; False
1; TokenAnse;4900;30; false;1;8;6;0.9166667;0.08854166;2777;2635;0.9009964;0.888544;0.9044078;0.889703;0.9009964;0.888544;0.9044078;0.889703;0;0;0; False
1; TokenAnse;4900;30; false;1;8;7;0.08333334;0.2239583;2527;2390;0.07643376;0.7598383;0.07586426;0.7613905;0.07643376;0.7598383;0.07586426;0.7613905;0;0;0; False
1; TokenAnse;4900;30; false;1;8;8;0.9166667;0.5677083;2211;2058;0.905189;0.4190219;0.9050956;0.4201694;0.905189;0.4190219;0.9050956;0.4201694;0;0;0; False
1; TokenAnse;864;8; false;1;9;1;0.08333334;0.9114583; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; False
1; TokenAnse;864;8; false;1;9;2;0.4089845;0.7730463;2461;2273;0.4102196;0.2318783;0.4092016;0.2362066;0.4102196;0.2318783;0.4092016;0.2362066;0;0;0; False
1; TokenAnse;864;8; false;1;9;3;0.6287153;0.5000001;2660;1743;0.6363089;0.506362;0.6347429;0.5020041;0.626775;0.5007828;0.627525;0.5007654;0;1;0; False
1; TokenAnse;864;8; false;1;9;4;0.4089845;0.2269537;2578;2465;0.4073997;0.7709327;0.4072364;0.7749212;0.4073997;0.7709327;0.4072364;0.7749212;0;0;0; False
1; TokenAnse;864;8; false;1;9;5;0.5;0.8861458;2809;2662;0.499511;0.1175047;0.4984455;0.1231925;0.499511;0.1175047;0.4984455;0.1231925;0;0;0; False
1; TokenAnse;864;8; false;1;9;6;0.5910155;0.2269536;2460;2344;0.591179;0.7698376;0.5917387;0.7725282;0.591179;0.7698376;0.5917387;0.7725282;0;0;0; False
1; TokenAnse;864;8; false;1;9;7;0.3712847;0.5;4972;2115;0.3636866;0.4924598;0.3663336;0.4960407;0.3649111;0.5049255;0.3714009;0.5069946;0;1;0; False
1; TokenAnse;864;8; false;1;9;8;0.5910155;0.7730463;2294;2145;0.590806;0.2326537;0.5906746;0.2362417;0.590806;0.2326537;0.5906746;0.2362417;0;0;0; False
1; TokenAnse;864;16; false;1;10;1;0.5;0.1138542; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; False
1; TokenAnse;864;16; false;1;10;2;0.4089845;0.7730463;2012;1838;0.3988945;0.2298283;0.410375;0.2409382;0.3988945;0.2298283;0.410375;0.2409382;0;0;0; False
1; TokenAnse;864;16; false;1;10;3;0.6287153;0.5000001;2078;1921;0.6357298;0.4994371;0.636237;0.5040374;0.6357298;0.4994371;0.636237;0.5040374;0;0;0; False
1; TokenAnse;864;16; false;1;10;4;0.4089845;0.2269537;1797;1633;0.4077152;0.7671623;0.4109925;0.7667482;0.4077152;0.7671623;0.4109925;0.7667482;0;0;0; False
1; TokenAnse;864;16; false;1;10;5;0.5;0.8861458;1761;1596;0.4978459;0.1199869;0.4990542;0.1251988;0.4978459;0.1199869;0.4990542;0.1251988;0;0;0; False
1; TokenAnse;864;16; false;1;10;6;0.5910155;0.2269536;1762;1635;0.5948432;0.7851126;0.5943699;0.7852651;0.5948432;0.7851126;0.5943699;0.7852651;0;0;0; False
1; TokenAnse;864;16; false;1;10;7;0.3712847;0.5;1895;1725;0.3711981;0.5041385;0.3716797;0.5069709;0.3711981;0.5041385;0.3716797;0.5069709;0;0;0; False
1; TokenAnse;864;16; false;1;10;8;0.5910155;0.7730463;2444;2259;0.5857304;0.2428139;0.5862961;0.2464141;0.5857304;0.2428139;0.5862961;0.2464141;0;0;0; False
1; TokenAnse;864;16; false;1;11;1;0.5;0.1138542; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; False
1; TokenAnse;864;16; false;1;11;2;0.4089845;0.7730463;1862;1688;0.4059152;0.2149916;0.4043123;0.2196767;0.4059152;0.2149916;0.4043123;0.2196767;0;0;0; False
1; TokenAnse;864;16; false;1;11;3;0.6287153;0.5000001;1778;1593;0.6304039;0.4958572;0.6227595;0.504468;0.6304039;0.4958572;0.6227595;0.504468;0;0;0; False
1; TokenAnse;864;16; false;1;11;4;0.4089845;0.2269537;1962;1808;0.413254;0.7761784;0.4107329;0.7804953;0.413254;0.7761784;0.4107329;0.7804953;0;0;0; False
1; TokenAnse;864;16; false;1;11;5;0.5;0.8861458;1779;1584;0.500986;0.1307884;0.5010015;0.1263288;0.500986;0.1307884;0.5010015;0.1263288;0;0;0; False
1; TokenAnse;864;16; false;1;11;6;0.5910155;0.2269536;1496;1351;0.5935748;0.7745309;0.5968333;0.7701365;0.5935748;0.7745309;0.5968333;0.7701365;0;0;0; False
1; TokenAnse;864;16; false;1;11;7;0.3712847;0.5;1529;1349;0.3745609;0.4851677;0.3742917;0.4896887;0.3745609;0.4851677;0.3742917;0.4896887;0;0;0; False
1; TokenAnse;864;16; false;1;11;8;0.5910155;0.7730463;1613;1454;0.5901747;0.2108792;0.5908588;0.2220494;0.5901747;0.2108792;0.5908588;0.2220494;0;0;0; False
1; TokenAnse;4900;45; false;1;12;1;0.5;0.1138542; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; False
1; TokenAnse;4900;45; false;1;12;2;0.9166667;0.9114583;1895;1732;0.9102331;0.02147511;0.8961615;0.05225111;0.9102331;0.02147511;0.8961615;0.05225111;0;0;0; False
1; TokenAnse;4900;45; false;1;12;3;0.08333334;0.9114583;1978;1831;0.06804822;0.07381242;0.06852772;0.08166904;0.06804822;0.07381242;0.06852772;0.08166904;0;0;0; False
1; TokenAnse;4900;45; false;1;12;4;0.9166667;0.5677083;1995;1866;0.910243;0.4488533;0.9040889;0.4616199;0.910243;0.4488533;0.9040889;0.4616199;0;0;0; False
1; TokenAnse;4900;45; false;1;12;5;0.08333334;0.2239583;2011;1833;0.08200171;0.7666441;0.07944816;0.7625428;0.08200171;0.7666441;0.07944816;0.7625428;0;0;0; False
1; TokenAnse;4900;45; false;1;12;6;0.9166667;0.08854166;1895;1713;0.9207447;0.907688;0.9191671;0.9031408;0.9207447;0.907688;0.9191671;0.9031408;0;0;0; False
1; TokenAnse;4900;45; false;1;12;7;0.08333334;0.2239583;2012;1840;0.07329316;0.7554611;0.08434031;0.7538093;0.07329316;0.7554611;0.08434031;0.7538093;0;0;0; False
1; TokenAnse;4900;45; false;1;12;8;0.9166667;0.5677083;1978;1790;0.912951;0.4123132;0.9035254;0.4500181;0.912951;0.4123132;0.9035254;0.4500181;0;0;0; False
