Id,Cat,Carb(g),Sugars(g),Prot(g),fat(g),Calcium(mg),Carotene- beta (µg),Fatty acids- total saturated (g),Fatty acids- total trans (g),Folate(µg),Iodine(µg),Iron(mg),Magnesium(mg),omega6(g),omega3(g),Potassium(mg),Vit B12(µg),Vit C(mg)
"45 Beef- loin- top loin steak- boneless- lip-on- separable lean only- trimmed to 1/8"" fat- choice- raw",8,0.0,0.0,22.8,6.39,15.0,0.0,2.56,0.306,0.0,0.0,1.9,11.3,0.259,0.009,282.0,1.72,0.0
"46 Beef- round- eye of round roast- boneless- separable lean only- trimmed to 0"" fat- select- raw",8,0.0,0.0,23.4,2.48,13.0,0.0,0.953,0.129,0.0,0.0,1.37,11.4,0.113,0.005,312.0,2.06,0.0
"47 Beef- round- top round roast- boneless- separable lean only- trimmed to 0"" fat- select- raw",8,0.0,0.0,23.7,2.41,13.0,0.0,0.924,0.125,0.0,0.0,2.34,11.9,0.136,0.003,316.0,1.62,0.0
"48 Beef- short loin- porterhouse steak- separable lean only- trimmed to 1/8"" fat- select- raw",8,0.0,0.0,22.7,5.32,19.0,0.0,2.07,0.28,0.0,0.0,2.26,10.7,0.178,0.008,266.0,1.98,0.0
"49 Beef- short loin- t-bone steak- bone-in- separable lean only- trimmed to 1/8"" fat- choice- cooked- grilled",8,0.0,0.0,27.3,11.4,19.0,0.0,4.68,0.594,0.0,0.0,3.53,20.0,0.367,0.021,283.0,1.88,0.0
50 Carrots- frozen- unprepared,1,7.92,4.2,0.81,0.47,33.0,0.0,0.0,0.0,7.0,0.0,0.43,10.8,0.0,0.0,210.0,0.0,2.2
51 Cheese- dry white- queso seco,2,2.07,0.43,24.5,24.3,661.0,33.0,13.7,0.877,0.0,0.0,0.18,26.7,0.705,0.11,116.0,1.7,0.0
52 Cheese- ricotta- whole milk,2,6.86,0.0,7.81,11.0,224.0,0.0,6.97,0.351,4.0,0.0,0.1,19.7,0.259,0.042,230.0,0.78,0.0
53 Cheese- swiss,2,1.44,0.0,27.0,31.0,890.0,60.0,18.2,0.993,9.0,0.0,0.13,33.4,0.731,0.125,71.0,3.02,0.0
54 Figs- dried- uncooked,3,63.9,47.9,3.3,0.92,162.0,6.0,0.0,0.0,9.0,0.0,2.03,67.6,0.0,0.0,680.0,0.0,1.2
