Session;Condition;Participant;Task;DataSet;IP;Move;MoveToPS;Select;BatchMoveSelection;BatchMoveSurface;BatchMoveFromPS;ExpandPS;EmptySurface;EmptySelection;Relayout;SurfaceCreated;SurfaceDestroyed;ToPSMoves;FromPSMoves;MaxItemInPS;TotItemsInSurfaces;MaxItemsInSurface;TotWalkDistance;TotItemMoveDistance;TotSurfaceMoveDistance;TotCursorMoveDistance;AvgDistanceToWall;InterPlayerDistance;CompletionTime;FirstActionTime;FirstToLastActionTime;InterCursorDistance
S4;Wall;P2;Story;2;180;12;0;19;2;0;0;0;0;0;0;0;0;0;0;0;0;0;4.539535;55.84102;0;328.5593;3.924031;1.080871;356.06;342.5761;313.0582;1.224228
S5;AR;P1;Classification;2;116;15;0;0;0;0;0;0;0;0;3;0;0;0;0;0;14;15;6.54607;72.94262;0;382.1774;3.492456;1.823045;218.12;213.3545;200.7722;2.350147
S5;AR;P2;Classification;2;180;13;0;0;0;0;0;0;0;0;3;2;0;0;0;0;13;15;6.428332;59.36943;17.73396;367.0748;3.229487;1.823045;218.12;213.3545;200.7012;2.350147
S5;AR;P1;Story;2;116;28;2;4;0;0;0;0;0;0;5;1;0;2;1;1;8;11;15.76704;71.86544;11.71834;604.0143;3.164679;0.9861257;584;577.5234;537.5234;1.488196
S5;AR;P2;Story;2;180;9;0;1;1;0;0;0;0;0;0;0;0;0;0;0;4;11;10.09996;31.34256;0;626.0606;3.479458;0.9861257;584;577.5234;537.5234;1.488196
S5;Wall;P2;Classification;1;180;27;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5.117377;31.37886;0;178.0406;2.953965;1.887041;271.28;253.0469;238.5943;1.671561
S5;Wall;P1;Classification;1;116;27;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.776074;48.76094;0;190.0089;3.17943;1.887041;271.28;253.0469;238.5677;1.671561
S5;Wall;P1;Story;1;116;33;0;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;14.6839;38.35096;0;429.4806;3.077865;0.9889289;616.26;581.1188;499.2433;0.9996622
S5;Wall;P2;Story;1;180;16;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;12.96257;29.97833;0;482.4082;3.202621;0.9889289;616.26;581.1188;499.2433;0.9996622
S6;AR;P2;Classification;1;180;24;0;8;4;0;0;0;0;0;4;2;1;0;0;0;29;23;38.19652;142.0558;25.66947;1002.15;3.034562;1.822468;380.66;379.4445;352.1702;2.902708
S6;AR;P1;Classification;1;116;21;8;6;3;0;1;0;0;0;4;2;0;9;9;8;35;23;38.15931;168.5907;111.2274;771.593;2.468167;1.822468;380.66;379.4445;352.1205;2.902708
S6;AR;P2;Story;1;180;5;0;4;0;0;0;0;0;0;0;0;0;0;0;0;4;11;63.0303;21.9504;0;777.6436;2.012067;0.8851039;519.28;436.8782;426.1203;1.573996
S6;AR;P1;Story;1;116;28;0;6;0;0;0;0;0;0;2;1;0;0;0;0;10;11;52.09496;52.8379;4.843461;847.722;1.57865;0.8851039;519.28;436.8782;426.1203;1.573996
S6;Wall;P1;Classification;2;116;49;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;4.343005;84.65556;0;302.752;3.072184;1.685219;311.6;275.2561;266.8197;1.487375
S6;Wall;P2;Classification;2;180;21;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;6.421914;33.82719;0;358.2226;3.158043;1.685219;311.6;275.2561;266.8197;1.487375
S6;Wall;P1;Story;2;116;26;0;11;6;0;0;0;0;0;0;0;0;0;0;0;0;0;27.1959;38.12688;0;343.3827;2.268219;0.7915725;463.84;441.1306;437.5049;0.7784442
S6;Wall;P2;Story;2;180;18;0;8;3;0;0;0;0;0;0;0;0;0;0;0;0;0;23.2092;41.79445;0;344.8895;2.415959;0.7915725;463.84;441.1306;437.5049;0.7784442
S7;AR;P2;Classification;2;180;1;0;45;9;0;0;1;0;1;0;1;0;8;8;8;46;21;19.01601;242.6596;6.77792;885.9029;2.844945;2.040293;512.14;490.5761;478.018;2.702064
S7;AR;P1;Classification;2;116;26;1;11;1;0;1;0;0;1;0;2;0;5;5;5;31;21;21.16696;223.6743;17.25059;842.2394;2.358505;2.040293;512.14;490.5761;478.018;2.702064
S7;AR;P2;Story;2;180;2;0;16;6;0;0;0;0;0;0;1;1;0;0;0;5;10;62.75042;132.276;26.47603;1034.115;2.834358;1.751014;799.58;765.0215;747.6899;2.084485
