"Participant","GestureID","PlaneOrientation","GestureTap","Time","SpeedThumb","AccelerationThumb","SpeedIndex","AccelerationIndex","SpeedMiddle","AccelerationMiddle","PosXThumb","PosYThumb","PosZThumb","PosXIndex","PosYIndex","PosZIndex","PosXMiddle","PosYMiddle","PosZMiddle"
1,"DoubleTap","Horizontal",2,33.4025,0.06068233,3.40186,0.05886345,3.29464,0.04098475,2.242738,0.1172387,-0.02482333,0.7141275,0.1412178,0.03075909,0.7284307,0.1674294,0.04287986,0.7321236
1,"DoubleTap","Horizontal",2,34.40289,0.1400968,5.19007,0.01063981,0.09096994,0.02447018,0.7810125,0.1277806,-0.02912623,0.7252814,0.1437284,0.02533477,0.7357159,0.1673372,0.03524899,0.7393052
1,"DoubleTap","Horizontal",2,31.8358,0.02227199,0.4790871,0.01683281,-0.2431569,0.0115747,-3.267019,0.1190027,-0.02670696,0.7177281,0.1417669,0.02894673,0.73084,0.1663633,0.03637604,0.7369418
1,"DoubleTap","Horizontal",2,25.26919,0.0009783618,-0.8653203,0.0009786916,-0.7785442,0.0009800304,-1.220884,0.1172526,-0.02938282,0.719381,0.140804,0.02889773,0.7331272,0.1685192,0.04484822,0.7341664
1,"DoubleTap","Horizontal",2,23.96868,0.0006601351,-2.731967,0.0006594739,-3.948993,0.0006621891,-3.807007,0.1193987,-0.02666887,0.7194443,0.1420529,0.02800743,0.7324362,0.1661072,0.03724791,0.7368699
1,"DoubleTap","Horizontal",2,32.01905,0.004188473,-4.783305,0.004191947,-1.330175,0.004192233,-0.4516562,0.1192289,-0.02703551,0.7194855,0.141488,0.02873799,0.7311566,0.1654669,0.03868712,0.7356457
1,"DoubleTap","Horizontal",2,25.78673,0.01349395,-0.06111503,0.01689509,-0.7054797,0.09682527,-1.73043,0.1194378,-0.02984735,0.7196968,0.1407731,0.02902606,0.7317597,0.1659561,0.03964757,0.7359837
1,"DoubleTap","Horizontal",2,21.6358,0.004696743,-2.244731,0.004696212,-3.077635,0.004698169,-2.767312,0.1211846,-0.02755411,0.627668,0.1373409,0.04448941,0.6305264,0.167581,0.05066174,0.6405789
1,"DoubleTap","Horizontal",2,26.43598,0.04856446,0.5276321,0.04797007,-3.109862,0.0659095,0.4136164,0.1204281,-0.02818072,0.7207566,0.1426773,0.03087047,0.7320488,0.1672844,0.03824709,0.7369444
1,"DoubleTap","Horizontal",2,25.63578,0.01584011,0.7843602,0.0431092,2.410258,0.1335691,7.805565,0.1176858,-0.02774123,0.7177454,0.1404196,0.03332495,0.7275914,0.1672435,0.045412,0.7315555
1,"DoubleTap","Horizontal",3,36.95188,0.00339155,-3.524588,0.003390355,-2.068826,0.003389652,-1.586802,0.1180364,-0.01875457,0.6715944,0.1422681,0.04736005,0.6788982,0.1722737,0.05590262,0.6882806
1,"DoubleTap","Horizontal",3,37.51877,0.4421526,21.30952,0.4203471,20.01469,0.3982822,18.70412,0.1104289,0.01081128,0.6852788,0.1342208,0.06073745,0.6924167,0.1623576,0.06741969,0.7008398
1,"DoubleTap","Horizontal",3,37.65211,0.1586503,-11.33791,0.1586542,-12.28229,0.1586542,-8.1018,0.1112554,-0.005888016,0.7308788,0.133168,0.04710115,0.7445011,0.1617391,0.05729207,0.7498731
1,"DoubleTap","Horizontal",3,38.00197,0.01719953,0.2822721,0.01460917,0.1269812,0.02311152,0.6376445,0.1229684,-0.003486382,0.7213199,0.1480996,0.04920308,0.7354385,0.1735852,0.06010487,0.7390643
1,"DoubleTap","Horizontal",3,37.08542,0.05190564,-1.053777,0.05553921,-0.7405972,0.02920335,-3.204961,0.1181999,-0.01371425,0.669549,0.1427805,0.05256027,0.6739567,0.1725108,0.06036392,0.6832786
1,"DoubleTap","Horizontal",4,40.96884,0.2098404,9.943332,0.211813,10.06044,0.2209514,10.60263,0.1160942,0.01108062,0.6039796,0.1390032,0.06851329,0.6046372,0.1670278,0.07316209,0.6180984
1,"DoubleTap","Horizontal",4,42.00236,0.01791354,0.9573944,0.03428084,1.946028,0.01875698,1.008173,0.1277238,-0.01508828,0.7214513,0.1485165,0.05160436,0.7348436,0.175305,0.06315237,0.7384518
1,"DoubleTap","Horizontal",4,42.03595,0.02163783,0.4480364,0.009762599,-0.4505323,0.0241136,0.4718227,0.127718,-0.01513585,0.7212687,0.1484135,0.05173443,0.7347708,0.1752493,0.0635033,0.7383351
1,"DoubleTap","Horizontal",4,42.5197,0.0134412,-4.217152,0.056793,1.720473,0.05471188,1.767506,0.128736,-0.01703658,0.7203473,0.148413,0.05026487,0.733691,0.1749188,0.06349511,0.7361099
1,"DoubleTap","Horizontal",4,41.61873,0.1078901,-2.157552,0.1048923,-2.587453,0.08648425,1.025695,0.1290775,-0.02163227,0.7275127,0.1509181,0.04192488,0.7418196,0.1787226,0.0507885,0.7442098
1,"DoubleTap","Horizontal",4,41.56883,0.06877212,-0.2536888,0.06880008,-1.337527,0.06880859,0.06675953,0.1327998,-0.02421358,0.732919,0.1516605,0.04005475,0.7450494,0.1801431,0.05227228,0.7460222
1,"DoubleTap","Horizontal",4,42.58619,0.02436268,0.8592726,0.02538585,1.055565,0.04191029,-1.598298,0.1280379,-0.0167907,0.7198044,0.1484304,0.05024607,0.7334513,0.1749523,0.06261303,0.7367418
1,"DoubleTap","Horizontal",5,46.08585,0.4759081,7.632917,0.4671044,5.017292,0.3966757,2.297662,0.1338765,-0.003350207,0.7175931,0.1557375,0.0538819,0.725216,0.1832321,0.06290879,0.7286233
