;Volcano;Event;Magnitude;VEI;SampleID;SampleObservationID;Location;Longitude;Authors;DOI;TypeOfRegister;TypeOfAnalysis;AnalyzedMaterial;AnalyticalTechnique;TypeOfSection;Latitude;SectionID;Flag;HistoricalAge;SiO2;TiO2;Al2O3;FeOT;MnO;MgO;CaO;Na2O;K2O;P2O5
9327;Mocho-Choshuenco;MC12;4.0;;140114-2B;8F3_13;;-71.897;Rawson et al., 2015;https://doi.org/10.1016/j.jvolgeores.2015.04.003;Pyroclastic material;Micro Analytical;Glass shards;EMP;Outcrop;-39.848;140114-2;;;64.6974;0.8749;16.303;5.3948;0.2364;1.3277;3.6866;5.7261;1.8534;0.3235
4122;Hudson;H2;;;H2-E_0-30;H2-E_0-30_17;Laguna Espejo;-72.132808;Smith et al., 2019;https://doi.org/10.1016/j.quascirev.2019.06.001;Pyroclastic material;Micro Analytical;Glass shards;EMP;Lake core;-45.7573;PC1003 A;;;66.15163935;0.646979316;14.78011599;2.969064732;0.09810003;0.580232825;1.584411661;5.633442311;3.406475454;0.136378277
4195;Hudson;H1;;6.0;90-12;90-12 (Tephra);Río Rusphen;-69.25;Stern, 2008;https://doi.org/10.1007/s00445-007-0148-z;Pyroclastic material;Bulk;Bulk tephra;XRF;Outcrop;-53.75;;Geochemistry_Issue;;61.88;1.42;16.24;5.67;0.15;1.79;3.84;5.76;2.51;0.31
3111;Chaitén;Vcha-2008;;;Cha 2008;G5a-1;;-72.69;Watt et al., 2013;https://doi.org/10.5027/andgeoV40n2-a02;Pyroclastic material;Micro Analytical;Glass shards;EMP;Outcrop;-42.81;-2,00 F;Geochemistry_Issue;2008;;;;;;;;;;
6312;Melimoyu;La Junta;;5.0;MM-5;MM-5-17;;-72.46178;Geoffroy et al., 2018;https://doi.org/10.1016/j.quascirev.2018.09.034;Pyroclastic material;Micro Analytical;Glass shards;EMP;Outcrop;-44.14278;Puente Los Cesares;EventName_Issue;;70.11;0.43;18.0;2.34;0.15;0.53;1.5;5.37;2.9;
11452;Puyehue-Cordón Caulle;Mil Hojas;5.0;5.0;CLD241C;IT'IV-F_2;;-71.70416398;Fontijn et al., 2016;https://doi.org/10.1016/j.quascirev.2016.02.015;Pyroclastic material;Micro Analytical;Glass shards;EMP;Outcrop;-40.65786503;CLD241;;;69.3773;0.6849;14.0123;4.3701;0.1234;0.5769;1.9161;5.5076;2.8203;0.1395
14404;Unknown;Unknown;;;CALA01-35;LC1B_16;Lago Calafquen;-72.219;Fontijn et al., 2016;https://doi.org/10.1016/j.quascirev.2016.02.015;Pyroclastic material;Micro Analytical;Glass shards;EMP;Lake core;-39.546;CALA01;;;52.0607;1.4778;14.6824;9.8504;0.1627;5.6397;9.5721;3.192;0.7866;0.2859
3036;Chaitén;Cha1;5.5;5.0;20-2D;20-2D;;-72.42699;Watt et al., 2011b;https://doi.org/10.1016/j.quaint.2011.05.029;Pyroclastic material;Bulk;Bulk tephra;ICP-MS;Outcrop;-41.992649;B;;;;;;;;;;;;
11964;Puyehue-Cordón Caulle;PCC2011;;;PA12CCT35;CCT6-E_14;;-72.05987;Fontijn et al., 2016;https://doi.org/10.1016/j.quascirev.2016.02.015;Pyroclastic material;Micro Analytical;Glass shards;EMP;Outcrop;-40.67329;;;2011;70.24076902;0.647808281;14.35776349;3.738495878;0.105380286;0.580493117;1.941221072;5.068270878;2.774546739;0.146851235
15888;Villarrica;Unknown;;;CAL1A-VI-62;LC8-D_6;Lago Calafquen;-72.219;Fontijn et al., 2016;https://doi.org/10.1016/j.quascirev.2016.02.015;Pyroclastic material;Micro Analytical;Glass shards;EMP;Lake core;-39.546;CAL1;;;55.3737;1.4624;14.3078;9.9602;0.1808;4.423;8.0621;3.7139;0.987;0.2785
